YEAR,TRADE BALANCE,PARTNER
2015,$230371403,Italy
2015,$1043756952,Australia
2015,$1553175054,Japan
2015,$1729072761,Mexico
2015,$2196576459,Saudi Arabia
2015,$2290696311,Turkey
2015,$4404133180,Brazil
2015,$4955313589,United Arab Emirates
2015,$5557340339,Singapore
2015,$5864125130,Canada
2015,$5988579427,Germany
2015,$7896961898,France
2015,$8248797274,United Kingdom
2015,$14963639721,China
2016,($43173389),Italy
2016,$645329746,Australia
2016,$1497455675,Mexico
2016,$2349225289,Japan
2016,$2551729753,Turkey
2016,$3370175979,Saudi Arabia
2016,$3687639446,Singapore
2016,$4281862904,Brazil
2016,$5285435176,Germany
2016,$5291618598,Canada
2016,$6043304930,United Arab Emirates
2016,$9349573467,France
2016,$9923949035,United Kingdom
2016,$14127664750,China
2017,$40323373,Italy
2017,$946228224,Australia
2017,$1413675837,Turkey
2017,$1752293968,Japan
2017,$2213936760,Mexico
2017,$2754485110,Saudi Arabia
2017,$4305863585,Singapore
2017,$4512541505,United Arab Emirates
2017,$5216600051,Brazil
2017,$6248449125,Canada
2017,$6286249399,Germany
2017,$8257668179,United Kingdom
2017,$10151442880,France
2017,$15779131897,China
2018,($328140802),Italy
2018,$648244022,Saudi Arabia
2018,$1389489684,Australia
2018,$1487991359,Japan
2018,$1709414525,Turkey
2018,$2301117683,Mexico
2018,$3546990461,United Arab Emirates
2018,$5528719908,Singapore
2018,$5813332959,Brazil
2018,$7336263078,Canada
2018,$7661761481,Germany
2018,$10238915669,United Kingdom
2018,$11580008645,France
2018,$17707334674,China
2019,($127787558),Italy
2019,$846612152,Australia
2019,$1244369682,Saudi Arabia
2019,$2251496281,Turkey
2019,$2710969735,Mexico
2019,$3508204466,Japan
2019,$3579266759,United Arab Emirates
2019,$5899000116,Singapore
2019,$6740242482,Brazil
2019,$7626997818,Canada
2019,$8097483601,United Kingdom
2019,$9242171820,Germany
2019,$9922154857,China
2019,$11722108923,France
2020,($159298466),Italy
2020,$307693245,Australia
2020,$559036121,Saudi Arabia
2020,$1233871692,Japan
2020,$1425811713,United Arab Emirates
2020,$1941656758,Mexico
2020,$2085303785,Turkey
2020,$3299900761,Singapore
2020,$4157215457,China
2020,$4683123010,Brazil
2020,$4917435789,United Kingdom
2020,$4997797213,Canada
2020,$5949736041,France
2020,$7259954056,Germany
2021,$183290067,Saudi Arabia
2021,$431088507,Italy
2021,$897600577,Australia
2021,$1662614795,Turkey
2021,$1887611113,United Arab Emirates
2021,$1948056272,Japan
2021,$3424651607,Mexico
2021,$4282915383,Singapore
2021,$4286073853,United Kingdom
2021,$4533219671,China
2021,$5366060696,Canada
2021,$5468247467,France
2021,$6280353431,Brazil
2021,$7322248561,Germany
2022,$183818178,Saudi Arabia
2022,$613024554,Italy
2022,$1111984889,Australia
2022,$1951951559,Turkey
2022,$2566663990,Japan
2022,$2627323360,United Arab Emirates
2022,$4090295296,France
2022,$4340925944,Canada
2022,$4685051229,Mexico
2022,$4880043030,Singapore
2022,$5040212880,Brazil
2022,$5375506357,China
2022,$6467155796,Germany
2022,$7559112358,United Kingdom
2023,$647806566,Italy
2023,$912227350,Saudi Arabia
2023,$1828179626,Australia
2023,$2604971431,Turkey
2023,$2658072740,United Arab Emirates
2023,$3153222374,Canada
2023,$3602201376,Japan
2023,$4721508024,Mexico
2023,$5624787330,Brazil
2023,$6590365095,China
2023,$6686125841,France
2023,$6851802561,Singapore
2023,$6896029886,Germany
2023,$8249829974,United Kingdom
2024,$366319654,Saudi Arabia
2024,$900275490,Italy
2024,$1194699270,Canada
2024,$1849895818,Turkey
2024,$2114924277,Australia
2024,$3689012569,United Arab Emirates
2024,$4622276706,Japan
2024,$4824818536,Germany
2024,$5913853981,Singapore
2024,$6191344969,Mexico
2024,$6614044519,France
2024,$8002474802,Brazil
2024,$10038890488,United Kingdom
2024,$11444095502,China
